,id,sentences
0,0,now im left with this gay name
1,1,:P
2,2,PART
3,3,hey everyone  
4,4,ah well
5,5,NICK :10-19-20sUser7
6,6,10-19-20sUser7 is a gay name.
7,7,.ACTION gives 10-19-20sUser121 a golf clap.
8,8,:)
9,9,JOIN
10,10,hi 10-19-20sUser59
11,11,26/ m/ ky women that are nice please pm me
12,12,JOIN
13,13,PART
14,14,there ya go 10-19-20sUser7
15,15,don't golf clap me.
16,16,fuck you 10-19-20sUser121:@
17,17,whats everyone up to?
18,18,PART
19,19,PART
20,20,i'll thunder clap your ass.
21,21,PART
22,22,and i dont even know what that means.
23,23,that sounds painful
24,24,any ladis wanna chat? 29 m
25,25,26/m
26,26,JOIN
27,27,my cousin drew a messed up pic on my cast
28,28,PART
29,29,24/m
30,30,boo.
31,31,26/m and sexy
32,32,lol 10-19-20sUser115
33,33,boo.
34,34,JOIN
35,35,PART
36,36,he drew a girl with legs spread
37,37,boo.
38,38,hope he didnt draw a penis
39,39,PART
40,40,ewwwww lol
41,41,& a head between her legs
42,42,JOIN
43,43,JOIN
44,44,sounds good to me.
45,45,r u serious
46,46,JOIN
47,47,PART
48,48,"I'll take one, please."
49,49,& i have to go to the docs tomorrow
50,50,ya man
51,51,I am too.. Connected to... Slip away... Fade away... Days away I... Still feel you... Touching me... Changing me... Considerably killing me... 
52,52,heeeey!
53,53,don't you have a sharpie?
54,54,26/m
55,55,you're back 10-19-20sUser115
56,56,10-19-20sUser129
57,57,yep
58,58,10-19-20sUser115
59,59,Any ladies wanna chat with 24/m
60,60,hurry ladies
61,61,PART
62,62,JOIN
63,63,JOIN
64,64,not fast enough 10-19-20sUser116
65,65,a bowl i got a blunt an a bong......lol
66,66,JOIN
67,67,"well, glad it worked out"
68,68,my chair is too hard.
69,69,Anyone from Tennessee in here?
70,70,hey ladies
71,71,as am i
72,72,is 10-19-20sUser68 back yet
73,73,PART
74,74,hey 
75,75,PART
76,76,JOIN
77,77,10-19-20sUser121 is missing a B in her name
78,78,and i don't complain about things being hard very often.
79,79,ok
80,80,yes 10-19-20sUser30
81,81,fire it up
82,82,Any women from Nashville in here?
83,83,JOIN
84,84,PART
85,85,"and an an ""itch"""
86,86,JOIN
87,87,"yo, 10-19-20sUser133"
88,88,"or a ""ogan"""
89,89,are you a male?
90,90,JOIN
91,91,JOIN
92,92,show will
93,93,let's talk.
94,94,PART
95,95,:)
96,96,haha
97,97,brb
98,98,opps
99,99,JOIN
100,100,PART
101,101,sho*
102,102,.ACTION keeps 10-19-20sUser115s place nice and warm.
103,103,hey any guys with cams wanna play?
104,104,.ACTION sits on 10-19-20sUser68's lap.
105,105,JOIN
106,106,JOIN
107,107,any guyz wanna chat 
108,108,hi there
109,109,"boo, it's a female."
110,110,hey 10-19-20sUser126
111,111,PART
112,112,i wonna chat
113,113,PART
114,114,24 f nc single mom
115,115,where did everyone gooo?
116,116,sure 10-19-20sUser126
117,117,JOIN
118,118,what did you but on e-bay
119,119,i feel like im in the wrong room
120,120,yeee haw 10-19-20sUser30
121,121,"im considering changing my nickname to ""ihavehotnips"""
122,122,JOIN
123,123,"i don't want hot pics of a female, I can look in a mirror."
124,124,hi 10-19-20sUser64
125,125,wb 10-19-20sUser139
126,126,u should 10-19-20sUser44:)
127,127,PART
128,128,PART
129,129,JOIN
130,130,single dad here
131,131,JOIN
132,132,ty 10-19-20sUser68
133,133,PART
134,134,JOIN
135,135,Hi 10-19-20sUser139
136,136,PART
137,137,JOIN
138,138,hi 10-19-20sUser138
139,139,HAHAHA
140,140,yw 10-19-20sUser139
141,141,"you should make it 'iamahotnip', 10-19-20sUser44"
142,142,alright
143,143,hi 10-19-20sUser139.
144,144,you're fucking hot.
145,145,i thought of that!
146,146,"hi 10-19-20sUser126, its so late"
147,147,lmao
148,148,"ahah ""iamahotniplickme"""
149,149,PART
150,150,Hi 10-19-20sUser121
151,151,in ny
152,152,.ACTION would lol @ 10-19-20sUser121 . . . but appearently she does not like that.
153,153,cya later guys
154,154,single white male 26
155,155,can't sleep huh?
156,156,JOIN
157,157,hi 10-19-20sUser139
158,158,bye 10-19-20sUser20
159,159,well 10-19-20sUser68 what did u buy
160,160,yeah i know
161,161,:)
162,162,10-19-20sUser136.. get the hell outta my freaking PM box.. Im with my fiance!!!!!!!!!!!!!!!!
163,163,answers for 10-19-20sUser139 ... hi 10-19-20sUser101 ;)
164,164,"I like it when you do it, 10-19-20sUser83"
165,165,iamahotnipwithpics
166,166,10-19-20sUser20 go plan the wedding! :P
167,167,first warning !!!!!
168,168,PART
169,169,JOIN
170,170,uh huh 
171,171,A gold jeep charm for my necklace 10-19-20sUser30
172,172,make sure u buy a nice ring for 10-19-20sUser6
173,173,lol 10-19-20sUser7
174,174,Hi 10-19-20sUser115
175,175,.ACTION isnt falling for that one again.
176,176,10-19-20sUser136.. get the hell in my freaking PM box.. I have no fiance!!!!!!!
177,177,right on
178,178,i have one already 10-19-20sUser7... yayayayayyy!!
179,179,OOooOO:)
180,180,how you doin 10-19-20sUser139
181,181,lmaoo 10-19-20sUser121
182,182,'iamahotnipwithhotnippics
183,183,'
184,184,how many kts
185,185,any single white females?
186,186,off off?
187,187,really?
188,188,"Just fine thanks, how are you?"
189,189,that sounds freakishly like dr seuss
190,190,"wow. twice, I'm impressed."
191,191,PART
192,192,hiya room
193,193,lmao!!!
194,194,im doin alright thanks
195,195,omg
196,196,"Finger.. Deep within the borderline.. Show me that you love me, and that we belong together... Relax.. Turn around.. And take my.. Hand.. "
197,197,I just laughed
198,198,didnt even look hang on
